id,file_name,satellite,file_size,date_time,latitude,longitude
1,16ecdcaba57090fd247cf8bf09456a35.jpg,NAS-778,9806,"2021-10-17 23:25:59",-7.4179100,-56.5379390
2,315b89e7fe67dd943a93fd0bdf6488e9.jpg,AMZ-901,17777,"2021-10-17 23:20:16",-0.3267320,-61.6269150
3,641eb3cee3c2b8a50c8474867f41991d.jpg,BRA-104,683,"2021-10-17 08:48:44",-7.8474910,-57.6519670
4,6146c0595377ad1ccb085fac388cfc09.jpg,BRA-104,3642,"2021-10-17 16:03:03",-3.5364990,-63.8307170
5,85657877fb07a14c0a741f11d2f8aad8.jpg,NAS-778,8472,"2021-10-17 13:08:32",-1.4381710,-66.6188780
6,22711fdd4642d4fef43c774c15ed9890.jpg,BRA-104,16177,"2021-10-17 05:25:06",-8.8695050,-66.7628070
7,1cdc1c46f96ba2bdc9312673bf3a2eb6.jpg,BRA-104,13176,"2021-10-17 06:18:30",-6.2162950,-64.8395180
8,92512555fbf1c140d90628a96a814663.jpg,AMZ-903,19040,"2021-10-17 15:22:47",-3.0676900,-62.0990340
9,b88193d412cb004be6da569abcfe0fac.jpg,AMZ-901,8971,"2021-10-17 06:33:45",-3.6410470,-61.5794900
10,ded3a9c6ec278bfe2fc1fad0da57ed6a.jpg,AMZ-901,7520,"2021-10-17 23:46:24",-3.3859300,-58.1440800
11,1c45a8a03d6229ba057bec571b2a0bc0.jpg,AMZ-901,13993,"2021-10-17 08:06:37",-6.7627940,-58.4709770
12,bba3d5b99586ce631f9de1c1966b3a7d.jpg,AMZ-901,7999,"2021-10-17 07:08:14",-2.5773020,-59.9603120
13,146302299dd867215f62e19d70b05587.jpg,NAS-778,5919,"2021-10-17 03:50:34",-4.8246410,-58.2865360
14,f54acb574e9717019019e3dccccbfad7.jpg,AMZ-901,2256,"2021-10-17 18:25:08",-2.5800480,-56.7739620
15,76601b28f47983c9470ac4458c755d23.jpg,NAS-772,7923,"2021-10-17 23:00:18",-7.2074880,-56.4162890
16,eccf72c47e1bff3bb439f33311d4d546.jpg,AMZ-903,7661,"2021-10-17 17:33:27",-7.2006350,-57.0366490
17,674add97e931cbc85b570288fcea48ff.jpg,BRA-102,18317,"2021-10-17 11:07:24",-3.7996730,-61.2192870
18,0bbd419756895ea1290ebd5aa970d1ee.jpg,NAS-772,10696,"2021-10-17 23:10:06",-4.0413330,-56.9644370
19,ca671afe24405fa47391c4faf0f3d503.jpg,BRA-104,16612,"2021-10-17 21:40:53",-0.8613660,-61.6877080
20,397cae7d78ebbe6c0240f096ab500ec7.jpg,NAS-772,6792,"2021-10-17 20:39:15",-0.7616840,-65.3158470
21,7e20ca7a0de81db377fccdfa7ee2ad15.jpg,BRA-104,9755,"2021-10-17 11:40:08",-5.3024760,-59.4096390
22,bfcca6e1227cf703e5c76196008d2f5b.jpg,NAS-778,4800,"2021-10-17 12:35:41",-3.1138050,-64.2351560
23,a6e198bd90e9cba85ceb625b1282ebb5.jpg,AMZ-901,18451,"2021-10-17 11:10:48",-6.4318000,-65.8360200
24,e6828cd06d84ebfd57788ea3b11dd403.jpg,AMZ-901,12934,"2021-10-17 12:43:53",-0.3878880,-66.8281970
25,b56ec2a146a20fadd2d91c12f3ca49fa.jpg,BRA-102,6728,"2021-10-17 02:17:12",-4.6957700,-64.7239490
26,4a8b21de3c1ac30c9277ae0260e8a66b.jpg,BRA-104,19564,"2021-10-17 22:54:11",-4.2086620,-64.3539990
27,6747f3306ff847e1e9161255d288e737.jpg,BRA-102,14362,"2021-10-17 10:41:45",-8.9192100,-65.8368620
28,2d8258574c65a969e9efdbf25630448c.jpg,NAS-772,2639,"2021-10-17 21:21:12",-7.1049820,-67.5007490
29,ad085e14c69c3963c5cfcc2b09424c36.jpg,BRA-104,1130,"2021-10-17 02:41:11",-4.6807690,-66.8369120
30,037c3c5d027045133cc2308f57c7d61d.jpg,AMZ-903,8497,"2021-10-17 09:39:05",-7.2831800,-59.6206780
31,59c870cb24630407d63a31d2a2d86cb3.jpg,AMZ-903,12868,"2021-10-17 02:46:28",-3.3442330,-56.5649420
32,c1b9c622562c7070f512bee99230e09a.jpg,AMZ-901,9435,"2021-10-18 00:04:09",-0.5638620,-61.4917420
33,e6a67bf7b7b7b6fe04193d3258aea0b6.jpg,BRA-102,2531,"2021-10-17 07:51:50",-6.3171630,-57.8611840
34,f1f71dddf472d83e9459143a48ad20da.jpg,NAS-772,15399,"2021-10-17 02:06:14",-0.9225730,-64.9399890
35,5e7939ac0e78aacc6facaf11cfe96f5e.jpg,BRA-102,8234,"2021-10-17 01:00:21",-4.9635280,-56.3098640
36,c24e925b2976a8156b1364dc6ca5c017.jpg,BRA-104,8408,"2021-10-17 09:40:16",-7.0676880,-67.3560120
37,ddcc95949bc6d06d5daae828973d9f40.jpg,NAS-778,983,"2021-10-17 02:43:41",-7.4021310,-64.8084080
38,f4689b55390249363c85874ea40214b8.jpg,NAS-778,8536,"2021-10-17 04:02:26",-2.5386150,-63.9019170
39,d9735dfa023edb36833c19ab5ffeafb0.jpg,AMZ-901,7265,"2021-10-17 15:08:11",-8.6727140,-64.7596390
40,db6e6fd9ab2daeb297f673682c0d7175.jpg,BRA-104,18861,"2021-10-17 08:29:28",-1.0365050,-63.3773580
41,b841e62ca4821b4f9f1177b6743be6ef.jpg,NAS-772,11285,"2021-10-17 13:01:31",-3.5052340,-68.3322540
42,9a64eac8f0d1466e11fec549f680f53b.jpg,AMZ-903,9535,"2021-10-17 21:46:41",-6.7682690,-56.9604530
43,48579ec8534d11322f6ba697f190cdf2.jpg,NAS-772,7260,"2021-10-17 08:50:23",-2.9494660,-65.1405930
44,eab5fc5820304819ad39c3cfb4a0a692.jpg,AMZ-901,12985,"2021-10-17 01:46:00",-3.3932890,-66.6194420
45,6df323c236cc546eaaca46fea2d6a3f1.jpg,AMZ-903,16351,"2021-10-17 10:19:53",-7.9444100,-65.0543130
46,81edfd939d5ae52837066fbcb38e9ecf.jpg,NAS-778,15581,"2021-10-17 15:41:18",-3.6740810,-58.1885930
47,9d4065b8bd6f480dd2e257b4bd032a1b.jpg,AMZ-901,12467,"2021-10-17 00:49:39",-6.3010790,-63.4135420
48,1588a12dfefa16554bcff52466973ea5.jpg,NAS-778,14941,"2021-10-17 21:15:52",-4.2561090,-59.1836290
49,554a2615252b688384befc5810f0131d.jpg,AMZ-901,6287,"2021-10-17 01:42:06",-7.3475620,-67.1880200
50,c080b134dcead9c49cd5057e56594940.jpg,NAS-778,6372,"2021-10-17 06:00:50",-8.4079800,-56.5910390
